genome	n_genes_called	n_genes_mapped	n_contigs	taxonomic_level	proportion_genes_retained_in_major_clades	genes_retained_index	clade_separation_score	contamination_portion	n_effective_surplus_clades	mean_hit_identity	reference_representation_score	pass.GUNC
GCA_028830885.1	4506	4454	54	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028830905.1	4177	4146	170	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028830925.1	4129	4094	172	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_028830945.1	3365	3324	36	kingdom	1.0	0.99	0.0	0.0	0.0	0.97	0.96	True
GCA_028830965.1	4204	4149	269	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_028830975.1	4360	4315	243	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_028831005.1	4147	4111	164	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_028831025.1	4165	4138	143	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028831045.1	4153	4126	144	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028831065.1	4195	4150	178	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_028831085.1	4196	4148	159	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_028831105.1	4153	4123	158	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028831125.1	4141	4111	144	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028831145.1	4438	4402	45	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028831165.1	4898	4791	90	kingdom	1.0	0.98	0.0	0.0	0.0	0.93	0.91	True
GCA_028831185.1	4676	4599	64	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_028831205.1	4134	4107	145	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028831225.1	4770	4703	73	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_028831245.1	4639	4587	87	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_028831265.1	4158	4126	99	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028831285.1	4171	4140	168	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028831455.1	4344	4300	48	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028831475.1	4175	4144	158	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028831515.1	4285	4237	59	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028831555.1	4136	4108	147	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028831575.1	4330	4290	266	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_028831595.1	4166	4125	228	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_028831615.1	4246	4211	189	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028831635.1	4134	4103	162	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028831655.1	4171	4142	170	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028831675.1	4374	4326	105	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028831695.1	4172	4127	50	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028831715.1	4183	4153	166	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028831735.1	4223	4197	168	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028831755.1	4162	4130	148	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028831775.1	4200	4168	167	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028831795.1	4171	4141	174	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028831815.1	4600	4531	68	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_028831835.1	4156	4121	191	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028831865.1	4808	4727	61	kingdom	1.0	0.98	0.0	0.0	0.0	0.93	0.91	True
GCA_028831885.1	4083	4054	129	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_028831925.1	4320	4268	48	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028831935.1	4180	4146	145	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_028831965.1	4282	4243	42	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028831985.1	4162	4133	167	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028832005.1	4409	4355	32	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_028832025.1	4163	4130	156	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028832045.1	4208	4166	157	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_028832065.1	4166	4131	169	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028832085.1	4577	4528	59	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028832105.1	4169	4138	167	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028832125.1	4090	4060	128	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_028832145.1	4147	4118	150	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028832165.1	4351	4313	56	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028832185.1	4548	4483	74	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_028832205.1	4081	4054	160	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028832225.1	4590	4525	87	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_028832235.1	4161	4132	159	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028832265.1	4274	4226	41	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028832285.1	4625	4557	78	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.92	True
GCA_028832305.1	4128	4101	141	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.99	True
GCA_028832325.1	4248	4204	208	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_028832565.1	4144	4106	161	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_028832585.1	4937	4818	113	kingdom	1.0	0.98	0.0	0.0	0.0	0.93	0.91	True
GCA_028832605.1	4525	4459	76	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.92	True
GCA_028832625.1	4196	4160	261	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028832645.1	4063	4040	148	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.99	True
GCA_028832665.1	4214	4172	58	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028832685.1	4379	4324	95	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_028832705.1	4160	4130	143	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028832725.1	4073	4049	150	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.99	True
GCA_028832745.1	4148	4119	150	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028832765.1	4183	4154	168	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028832785.1	4141	4111	159	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028832805.1	4582	4508	45	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_028832825.1	4156	4128	157	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028832845.1	4199	4148	282	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_028832865.1	4156	4125	163	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028832885.1	4136	4109	136	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.99	True
GCA_028832905.1	4175	4144	175	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028832925.1	4178	4145	171	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028832945.1	4159	4119	165	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_028832965.1	4182	4152	168	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028832985.1	4218	4176	41	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028832995.1	4629	4540	65	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_028833025.1	4217	4176	138	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_028833045.1	4194	4161	141	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_028833065.1	4156	4122	157	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_028833075.1	4135	4106	159	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028833105.1	4178	4145	170	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028833125.1	4675	4609	59	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_028833145.1	4055	4028	169	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028833165.1	4449	4397	67	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.93	True
GCA_028833185.1	4175	4148	147	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_028833205.1	4165	4137	157	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028833225.1	4438	4396	61	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.94	True
GCA_028833245.1	4810	4745	152	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_028833285.1	4767	4710	74	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_028833305.1	4150	4118	181	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028833405.1	4150	4121	158	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028833425.1	4276	4241	143	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_028833445.1	4763	4694	92	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_028833465.1	4158	4125	194	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028833485.1	4168	4141	166	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028833505.1	4529	4475	79	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_028833525.1	4165	4132	164	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028833545.1	4043	4022	151	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.99	True
GCA_028833565.1	4442	4401	54	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.94	True
GCA_028833585.1	4161	4126	162	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_028833605.1	4437	4385	29	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_028833625.1	4196	4168	116	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028833635.1	4363	4319	29	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028833665.1	4726	4666	49	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_028833685.1	4423	4353	51	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_028833705.1	4128	4080	219	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028833725.1	4228	4188	24	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028833745.1	4480	4408	51	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_028833765.1	4467	4400	43	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_028833785.1	4592	4531	51	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_028833805.1	4439	4387	37	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028833825.1	4109	4078	115	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_028833845.1	4440	4389	30	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_028833865.1	4550	4503	36	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028833885.1	4422	4373	30	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_028833905.1	4282	4222	40	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.93	True
GCA_028833925.1	4510	4439	45	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_028833945.1	4446	4382	42	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_028833965.1	4628	4549	72	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_028833985.1	4427	4376	32	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_028834005.1	4505	4456	56	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028834185.1	4571	4499	60	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_028834205.1	4520	4451	60	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_028834225.1	4677	4600	61	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_028834245.1	4766	4672	101	kingdom	1.0	0.98	0.0	0.0	0.0	0.93	0.92	True
GCA_028834265.1	4473	4390	57	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_028834285.1	4578	4524	31	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_028834305.1	4682	4611	71	kingdom	1.0	0.98	0.0	0.0	0.0	0.93	0.92	True
GCA_028834325.1	4217	4175	33	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028834345.1	4636	4557	99	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_028834365.1	4653	4576	47	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_028834385.1	4615	4539	75	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_028834405.1	4219	4180	30	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028834425.1	4500	4426	77	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_028834445.1	4206	4158	29	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028834465.1	4531	4465	75	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_028834485.1	4570	4508	50	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_028834505.1	4400	4335	49	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_028834525.1	4627	4549	71	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_028834545.1	4195	4153	24	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028834565.1	4245	4151	171	kingdom	1.0	0.98	0.0	0.0	0.0	0.95	0.93	True
GCA_028834585.1	4547	4491	54	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_028834605.1	4554	4503	34	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_028834625.1	4329	4283	36	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028834645.1	4431	4375	55	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.93	True
GCA_028834665.1	4927	4818	98	kingdom	1.0	0.98	0.0	0.0	0.0	0.93	0.91	True
GCA_028834685.1	4168	4135	239	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028834705.1	4186	4158	179	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028834725.1	4266	4223	39	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028834745.1	4223	4182	162	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_028834765.1	4127	4098	173	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028834785.1	4190	4159	166	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028834805.1	4166	4131	179	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_028834825.1	4152	4121	201	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028834845.1	4165	4139	145	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028834865.1	4354	4311	60	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028834885.1	4435	4380	67	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028834905.1	4430	4384	63	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_028834925.1	4161	4118	192	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_028834945.1	4154	4126	178	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028834965.1	4547	4483	122	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_028834985.1	4155	4125	176	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028835005.1	4105	4075	150	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_028835165.1	4135	4104	138	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_028835185.1	4632	4567	60	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_028835205.1	4377	4326	51	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.93	True
GCA_028835225.1	4158	4124	170	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_028835245.1	4301	4258	93	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028835265.1	4248	4202	43	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028835285.1	4235	4200	66	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028835305.1	4658	4606	42	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028835325.1	4668	4602	79	kingdom	1.0	0.99	0.0	0.0	0.0	0.93	0.92	True
GCA_028835335.1	4192	4153	185	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_028835365.1	4280	4231	67	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028835385.1	4573	4513	150	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_028835405.1	4272	4222	65	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028835425.1	4170	4131	172	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_028835445.1	4571	4519	140	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_028835465.1	4302	4260	70	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028835485.1	4287	4247	57	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028835505.1	4765	4695	85	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_028835525.1	4207	4166	53	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028835545.1	4262	4218	42	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028835565.1	4687	4611	57	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_028835585.1	4186	4136	38	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028835605.1	4431	4362	55	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_028835625.1	4426	4376	49	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.93	True
GCA_028835645.1	4740	4686	82	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_028835665.1	4171	4141	157	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028835685.1	4193	4159	194	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028835705.1	4154	4126	170	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028835725.1	4253	4211	48	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028835745.1	4411	4373	50	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028835765.1	4185	4153	166	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028835785.1	4271	4224	45	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028835805.1	4818	4735	62	kingdom	1.0	0.98	0.0	0.0	0.0	0.93	0.91	True
GCA_028835825.1	4480	4423	51	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_028835845.1	4299	4258	42	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028835865.1	4170	4136	169	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028835885.1	4319	4263	41	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028835905.1	4325	4289	40	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028835925.1	4224	4186	146	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_028835945.1	4230	4197	53	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028835965.1	4328	4291	36	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028835985.1	4284	4235	50	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028836005.1	4193	4157	131	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_028836165.1	4028	4003	152	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.99	True
GCA_028836185.1	4137	4108	154	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028836205.1	4331	4289	53	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028836225.1	4254	4204	39	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028836245.1	4114	4077	163	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_028836265.1	4375	4319	48	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.93	True
GCA_028836285.1	4294	4255	51	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028836305.1	4647	4568	69	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_028836325.1	4213	4175	47	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028836345.1	4348	4298	33	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028836365.1	4189	4156	179	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028836385.1	4264	4207	50	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_028836405.1	3395	3349	37	kingdom	1.0	0.99	0.0	0.0	0.0	0.97	0.96	True
GCA_028836425.1	3464	3435	29	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_028836445.1	4520	4466	67	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_028836465.1	3500	3458	49	kingdom	1.0	0.99	0.0	0.0	0.0	0.97	0.96	True
GCA_028836505.1	3398	3373	28	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_028836585.1	3360	3319	38	kingdom	1.0	0.99	0.0	0.0	0.0	0.97	0.96	True
GCA_028837465.1	4188	4163	149	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028837485.1	4116	4090	124	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
