accession	organism_name	biosample	assembly_level	source_database	refseq_category	geo_loc	isolation_source	host	collection_date	serovar	strain_x	host_disease	lat_lon	total_length	contig_n50	scaffold_n50	num_contigs	gc_percent	checkm_completeness	checkm_contamination	species	level_rank	db_rank	source_type	strain_y	isolate	sample_name	collected_by	identified_by	sequencing_tech	assembly_method	bioproject	niche	confidence	matched_term
GCA_050446075.1	Yersinia enterocolitica	SAMD00590499	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		2019		Miyagi_YE7		missing	4514286	132294	132294	75	47			Yersinia enterocolitica	3	1		Miyagi_YE7		6251	missing		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050442685.1	Yersinia enterocolitica	SAMD00590500	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		2020		Miyagi_YE8		missing	4514370	133356	133356	65	47			Yersinia enterocolitica	3	1		Miyagi_YE8		6259	missing		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050469765.1	Yersinia enterocolitica	SAMD00590501	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		1991		Shizuoka_YE		missing	4470695	70572	70572	106	47			Yersinia enterocolitica	3	1		Shizuoka_YE		513	missing		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050508795.1	Yersinia enterocolitica	SAMD00590502	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		1988		Toyama_YE1		missing	4507779	84407	84407	99	47			Yersinia enterocolitica	3	1		Toyama_YE1		490	Toyama Institute of Health		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050442665.1	Yersinia enterocolitica	SAMD00590503	Contig	SOURCE_DATABASE_GENBANK		Japan	wild boar		2012		Toyama_YE11		missing	4520638	84361	84361	105	47			Yersinia enterocolitica	3	1		Toyama_YE11		834	Toyama Institute of Health		ILLUMINA	SKESA v. 2.2	PRJNA514245	A	high	wild boar
GCA_050440805.1	Yersinia enterocolitica	SAMD00590504	Contig	SOURCE_DATABASE_GENBANK		Japan	wild boar		2018		Toyama_YE12		missing	4941293	377646	377646	40	47			Yersinia enterocolitica	3	1		Toyama_YE12		1032	Toyama Institute of Health		ILLUMINA	SKESA v. 2.2	PRJNA514245	A	high	wild boar
GCA_050442645.1	Yersinia enterocolitica	SAMD00590505	Contig	SOURCE_DATABASE_GENBANK		Japan	wild boar		2018		Toyama_YE14		missing	4701373	313268	313268	36	47.5			Yersinia enterocolitica	3	1		Toyama_YE14		1035	Toyama Institute of Health		ILLUMINA	SKESA v. 2.2	PRJNA514245	A	high	wild boar
GCA_050440385.1	Yersinia enterocolitica	SAMD00590506	Contig	SOURCE_DATABASE_GENBANK		Japan	wild boar		missing		Toyama_YE15		missing	4826333	630063	630063	26	47			Yersinia enterocolitica	3	1		Toyama_YE15		1050	Toyama Institute of Health		ILLUMINA	SKESA v. 2.2	PRJNA514245	A	high	wild boar
GCA_050469715.1	Yersinia enterocolitica	SAMD00590507	Contig	SOURCE_DATABASE_GENBANK		Japan	wild boar		2018		Toyama_YE16		missing	5288967	113356	113356	202	47			Yersinia enterocolitica	3	1		Toyama_YE16		1026	Toyama Institute of Health		ILLUMINA	SKESA v. 2.2	PRJNA514245	A	high	wild boar
GCA_050439505.1	Yersinia enterocolitica	SAMD00590508	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		1988		Toyama_YE2		missing	4425899	71315	71315	103	47			Yersinia enterocolitica	3	1		Toyama_YE2		491	Toyama Institute of Health		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050442605.1	Yersinia enterocolitica	SAMD00590509	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		1989		Toyama_YE3		missing	4586863	66346	66346	117	47			Yersinia enterocolitica	3	1		Toyama_YE3		496	Toyama Institute of Health		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050444985.1	Yersinia enterocolitica	SAMD00590510	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		1990		Toyama_YE4		missing	4457395	70741	70741	102	47			Yersinia enterocolitica	3	1		Toyama_YE4		497	Toyama Institute of Health		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050442625.1	Yersinia enterocolitica	SAMD00590511	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		1984		Toyama_YE5		missing	4505354	83702	83702	100	47			Yersinia enterocolitica	3	1		Toyama_YE5		499	Toyama Institute of Health		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050469675.1	Yersinia enterocolitica	SAMD00590512	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		2012		Toyama_YE6		missing	4462696	68146	68146	108	47			Yersinia enterocolitica	3	1		Toyama_YE6		509	Toyama Institute of Health		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050440365.1	Yersinia enterocolitica	SAMD00590513	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		2012		Toyama_YE7		missing	4515534	132298	132298	73	47			Yersinia enterocolitica	3	1		Toyama_YE7		819	Toyama Institute of Health		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050440345.1	Yersinia enterocolitica	SAMD00590514	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		2012		Toyama_YE8		missing	4544716	83700	83700	107	47			Yersinia enterocolitica	3	1		Toyama_YE8		827	Toyama Institute of Health		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050442585.1	Yersinia enterocolitica	SAMD00590515	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		missing		Yamagata_YE1		missing	4515205	132433	132433	72	47			Yersinia enterocolitica	3	1		Yamagata_YE1		O-1278	Yamagata Prefectural Institute of Public Health		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050440325.1	Yersinia enterocolitica	SAMD00590516	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		missing		Yamagata_YE2		missing	4514916	112113	112113	78	47			Yersinia enterocolitica	3	1		Yamagata_YE2		O-1508	Yamagata Prefectural Institute of Public Health		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050444965.1	Yersinia enterocolitica	SAMD00590517	Contig	SOURCE_DATABASE_GENBANK		Japan	vole		missing		Yamagata_YE3		missing	4505074	130978	130978	79	47			Yersinia enterocolitica	3	1		Yamagata_YE3		O-1512	Yamagata Prefectural Institute of Public Health		ILLUMINA	SKESA v. 2.2	PRJNA514245	A	high	vole
GCA_050442565.1	Yersinia enterocolitica	SAMD00590518	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		missing		Yamagata_YE4		missing	4514877	124025	124025	75	47			Yersinia enterocolitica	3	1		Yamagata_YE4		O-1580	Yamagata Prefectural Institute of Public Health		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050442545.1	Yersinia enterocolitica	SAMD00590519	Contig	SOURCE_DATABASE_GENBANK		Japan	missing		missing		YE_osaka1		missing	4484750	85125	85125	99	47			Yersinia enterocolitica	3	1		YE_osaka1		Zn21	Osaka Institute of Public Health		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	medium	collected_by:public health
GCA_050469625.1	Yersinia enterocolitica	SAMD00590520	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		2003		YE_osaka10		missing	4475345	71563	71563	98	47			Yersinia enterocolitica	3	1		YE_osaka10		15H183	Osaka Institute of Public Health		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050442525.1	Yersinia enterocolitica	SAMD00590521	Contig	SOURCE_DATABASE_GENBANK		Japan	missing		missing		YE_osaka2		missing	4557303	103380	103380	98	47			Yersinia enterocolitica	3	1		YE_osaka2		Zn22	Osaka Institute of Public Health		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	medium	collected_by:public health
GCA_050469535.1	Yersinia enterocolitica	SAMD00590522	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		1993		YE_osaka3		missing	4819194	405357	405357	29	47			Yersinia enterocolitica	3	1		YE_osaka3		5H170	Osaka Institute of Public Health		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050440305.1	Yersinia enterocolitica	SAMD00590523	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		1993		YE_osaka4		missing	4515542	124026	124026	82	47			Yersinia enterocolitica	3	1		YE_osaka4		5H174	Osaka Institute of Public Health		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050440285.1	Yersinia enterocolitica	SAMD00590524	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		1993		YE_osaka5		missing	4434485	83703	83703	102	47			Yersinia enterocolitica	3	1		YE_osaka5		5H291	Osaka Institute of Public Health		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050444945.1	Yersinia enterocolitica	SAMD00590525	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		1994		YE_osaka6		missing	4823166	649741	649741	20	47			Yersinia enterocolitica	3	1		YE_osaka6		6H57	Osaka Institute of Public Health		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050442505.1	Yersinia enterocolitica	SAMD00590526	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		1994		YE_osaka7		missing	4863466	557131	557131	31	47			Yersinia enterocolitica	3	1		YE_osaka7		6H129	Osaka Institute of Public Health		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050469525.1	Yersinia enterocolitica	SAMD00590527	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		1994		YE_osaka8		missing	4474819	83703	83703	100	47			Yersinia enterocolitica	3	1		YE_osaka8		6H232	Osaka Institute of Public Health		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050444925.1	Yersinia enterocolitica	SAMD00590528	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		1995		YE_osaka9		missing	4893070	499369	499369	32	47			Yersinia enterocolitica	3	1		YE_osaka9		7H278	Osaka Institute of Public Health		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050440265.1	Yersinia enterocolitica	SAMD00590529	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		2015		YE1_Fukuoka		missing	4483235	71564	71564	104	47			Yersinia enterocolitica	3	1		YE1_Fukuoka		YE1_Fukuoka	Fukuoka Children's Hospital		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050469505.1	Yersinia enterocolitica	SAMD00590530	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		2016		YE10_Fukuoka		missing	4472676	88356	88356	103	47			Yersinia enterocolitica	3	1		YE10_Fukuoka		YE10_Fukuoka	Fukuoka Children's Hospital		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050439485.1	Yersinia enterocolitica	SAMD00590531	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		2016		YE11_Fukuoka		missing	4524074	140826	140826	81	47			Yersinia enterocolitica	3	1		YE11_Fukuoka		YE11_Fukuoka	Fukuoka Children's Hospital		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050469425.1	Yersinia enterocolitica	SAMD00590532	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		2016		YE12_Fukuoka		missing	4495402	83816	83816	104	47			Yersinia enterocolitica	3	1		YE12_Fukuoka		YE12_Fukuoka	Fukuoka Children's Hospital		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050439465.1	Yersinia enterocolitica	SAMD00590533	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		2016		YE13_Fukuoka		missing	4494589	71564	71564	106	47			Yersinia enterocolitica	3	1		YE13_Fukuoka		YE13_Fukuoka	Fukuoka Children's Hospital		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050440245.1	Yersinia enterocolitica	SAMD00590534	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		2017		YE14_Fukuoka		missing	4434839	71140	71140	99	47			Yersinia enterocolitica	3	1		YE14_Fukuoka		YE14_Fukuoka	Fukuoka Children's Hospital		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050442485.1	Yersinia enterocolitica	SAMD00590535	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		2017		YE15_Fukuoka		missing	4422229	86436	86436	98	47			Yersinia enterocolitica	3	1		YE15_Fukuoka		YE15_Fukuoka	Fukuoka Children's Hospital		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050442465.1	Yersinia enterocolitica	SAMD00590536	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		2017		YE16_Fukuoka		missing	4539025	132971	132971	67	47			Yersinia enterocolitica	3	1		YE16_Fukuoka		YE16_Fukuoka	Fukuoka Children's Hospital		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050444905.1	Yersinia enterocolitica	SAMD00590537	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		2018		YE17_Fukuoka		missing	4496623	71140	71140	103	47			Yersinia enterocolitica	3	1		YE17_Fukuoka		YE17_Fukuoka	Fukuoka Children's Hospital		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050442445.1	Yersinia enterocolitica	SAMD00590538	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		2019		YE18_Fukuoka		missing	4528149	68901	68901	105	47			Yersinia enterocolitica	3	1		YE18_Fukuoka		YE18_Fukuoka	Fukuoka Children's Hospital		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050469415.1	Yersinia enterocolitica	SAMD00590539	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		2019		YE19_Fukuoka		missing	4517178	86435	86435	102	47			Yersinia enterocolitica	3	1		YE19_Fukuoka		YE19_Fukuoka	Fukuoka Children's Hospital		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050442425.1	Yersinia enterocolitica	SAMD00590540	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		2015		YE2_Fukuoka		missing	4421417	71564	71564	101	47			Yersinia enterocolitica	3	1		YE2_Fukuoka		YE2_Fukuoka	Fukuoka Children's Hospital		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050469385.1	Yersinia enterocolitica	SAMD00590541	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		2015		YE3_Fukuoka		missing	4466978	156644	156644	68	47			Yersinia enterocolitica	3	1		YE3_Fukuoka		YE3_Fukuoka	Fukuoka Children's Hospital		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050469245.1	Yersinia enterocolitica	SAMD00590542	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		2015		YE4_Fukuoka		missing	4546429	84165	84165	109	47			Yersinia enterocolitica	3	1		YE4_Fukuoka		YE4_Fukuoka	Fukuoka Children's Hospital		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050439445.1	Yersinia enterocolitica	SAMD00590543	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		2015		YE5_Fukuoka		missing	4446507	152420	152420	69	47			Yersinia enterocolitica	3	1		YE5_Fukuoka		YE5_Fukuoka	Fukuoka Children's Hospital		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050469165.1	Yersinia enterocolitica	SAMD00590544	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		2015		YE6_Fukuoka		missing	4476729	145058	145058	68	47			Yersinia enterocolitica	3	1		YE6_Fukuoka		YE6_Fukuoka	Fukuoka Children's Hospital		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050442405.1	Yersinia enterocolitica	SAMD00590545	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		2016		YE7_Fukuoka		missing	4460369	76777	76777	94	47			Yersinia enterocolitica	3	1		YE7_Fukuoka		YE7_Fukuoka	Fukuoka Children's Hospital		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050443065.1	Yersinia enterocolitica	SAMD00590546	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		2016		YE8_Fukuoka		missing	4482269	71563	71563	111	47			Yersinia enterocolitica	3	1		YE8_Fukuoka		YE8_Fukuoka	Fukuoka Children's Hospital		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050469185.1	Yersinia enterocolitica	SAMD00590547	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		2016		YE9_Fukuoka		missing	4461278	145058	145058	67	47			Yersinia enterocolitica	3	1		YE9_Fukuoka		YE9_Fukuoka	Fukuoka Children's Hospital		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCF_036512675.1	Yersinia pseudotuberculosis	SAMD00647906	Complete Genome	SOURCE_DATABASE_REFSEQ		Japan	missing		missing		Ypse1		missing	5210829	4497756	4497756	4	47.5	98.35	2.75	Yersinia pseudotuberculosis	0	0		Ypse1	missing	YPSE1	missing		PacBio	Flye v. 2.4.2	PRJDB16752	U	low	no_information
GCF_045865125.1	Yersinia pseudotuberculosis	SAMD00729695	Complete Genome	SOURCE_DATABASE_REFSEQ		Japan	blood	Homo sapiens (KD)	2015		KD1		missing	4705119	4705119	4705119	1	47.5	98.7	1.37	Yersinia pseudotuberculosis	0	0		KD1		KD1	Fukuoka children hospital		MiSeq; Oxford Nanopore MinION	Unicycler v. 0.4.8	PRJDB17094	H	high	homo sapiens
GCF_045865135.1	Yersinia pseudotuberculosis	SAMD00729696	Complete Genome	SOURCE_DATABASE_REFSEQ		Japan	blood	Homo sapiens (KD)	2015		KD2		missing	4897470	4822514	4822514	2	47.5	99.27	1.18	Yersinia pseudotuberculosis	0	0		KD2		KD2	Fukuoka children hospital		MiSeq; Oxford Nanopore MinION	Unicycler v. 0.4.8	PRJDB17094	H	high	homo sapiens
GCF_045865145.1	Yersinia pseudotuberculosis	SAMD00729697	Complete Genome	SOURCE_DATABASE_REFSEQ		Japan	blood	Homo sapiens (KD)	2012		KD3		missing	5008018	5008018	5008018	1	47.5	98.89	2.32	Yersinia pseudotuberculosis	0	0		KD3		KD3	Kawasaki medical univercity		MiSeq; Oxford Nanopore MinION	Unicycler v. 0.4.8	PRJDB17094	H	high	homo sapiens
GCF_045865155.1	Yersinia pseudotuberculosis	SAMD00729698	Complete Genome	SOURCE_DATABASE_REFSEQ		Japan	blood	Homo sapiens (KD)	2012		KD4		missing	4911601	4836613	4836613	2	47.5	99.11	1.94	Yersinia pseudotuberculosis	0	0		KD4		KD4	Okayama Institute of Public Health		MiSeq; Oxford Nanopore MinION	Unicycler v. 0.4.8	PRJDB17094	H	high	homo sapiens
GCF_045865165.1	Yersinia pseudotuberculosis	SAMD00729699	Complete Genome	SOURCE_DATABASE_REFSEQ		Japan	blood	Homo sapiens (KD)	2011		KD5		missing	4911284	4836274	4836274	2	47.5	98.83	2.16	Yersinia pseudotuberculosis	0	0		KD5		KD5	Fukuoka children hospital		MiSeq; Oxford Nanopore MinION	Unicycler v. 0.4.8	PRJDB17094	H	high	homo sapiens
GCF_045865175.1	Yersinia pseudotuberculosis	SAMD00729706	Complete Genome	SOURCE_DATABASE_REFSEQ		Japan	stool	Nyctereutes procyonoides	1999		okayama_3		missing	4811060	4811060	4811060	1	47.5	98.81	2.28	Yersinia pseudotuberculosis	0	0		okayama_3		okayama_3	Okayama Prefectural Institute of Public Health and Environmental Science		MiSeq; Oxford Nanopore MinION	Unicycler v. 0.4.8	PRJDB17094	H	high	stool
GCF_045865185.1	Yersinia pseudotuberculosis	SAMD00729710	Complete Genome	SOURCE_DATABASE_REFSEQ		Japan	stool	Vulpes	1991		okayama_9524		missing	4800666	4796399	4796399	2	47.5	99.47	1.33	Yersinia pseudotuberculosis	0	0		okayama_9524		okayama_9524	Okayama Prefectural Institute of Public Health and Environmental Science		MiSeq; Oxford Nanopore MinION	Unicycler v. 0.4.8	PRJDB17094	H	high	stool
GCF_900169255.1	Yersinia enterocolitica	SAMEA103891182	Scaffold	SOURCE_DATABASE_REFSEQ		France	blood	Homo sapiens	1999-12-15	O:3	IP26767			4467715	38532	61136	253	47	98.65	0.58	Yersinia enterocolitica	2	0		IP26767	4/O:3	Ye.1			Illumina NextSeq500	clc_assembler 5.0	PRJEB19854	H	high	homo sapiens
GCF_900169285.1	Yersinia enterocolitica	SAMEA103891183	Scaffold	SOURCE_DATABASE_REFSEQ		France	blood	Homo sapiens	2000-02-10	O:3	IP26755			4398672	41789	52969	283	47	98.33	0.95	Yersinia enterocolitica	2	0		IP26755	4/O:3	Ye.2			Illumina NextSeq500	clc_assembler 5.0	PRJEB19854	H	high	homo sapiens
GCF_900169225.1	Yersinia enterocolitica	SAMEA103891184	Scaffold	SOURCE_DATABASE_REFSEQ		France	blood	Homo sapiens	2013-01-12	O:3	191430			4355473	40483	46247	246	47	96.63	0.95	Yersinia enterocolitica	2	0		191430	4/O:3	Ye.3			Illumina NextSeq500	clc_assembler 5.0	PRJEB19854	H	high	homo sapiens
GCF_900169245.1	Yersinia enterocolitica	SAMEA103891185	Scaffold	SOURCE_DATABASE_REFSEQ		France	blood	Homo sapiens	2013-10-03	O:3	186820			4355672	40979	56122	230	47	96.97	0.54	Yersinia enterocolitica	2	0		186820	4/O:3	Ye.4			Illumina NextSeq500	clc_assembler 5.0	PRJEB19854	H	high	homo sapiens
GCA_900460665.1	Yersinia pseudotuberculosis	SAMEA104167196	Contig	SOURCE_DATABASE_GENBANK			Lymph glands	Cattle	1900/1965	not available: to be reported later	NCTC10551			4636467	3693301	3693301	3	47.5	88.82	0.83	Yersinia pseudotuberculosis	3	1		NCTC10551		0118a190-55c1-11e7-8660-3c4a9275d6c8			PacBio	HGAP, Circlator, Prokka	PRJEB6403	A	high	cattle
GCF_900460645.1	Yersinia pseudotuberculosis	SAMEA104200658	Contig	SOURCE_DATABASE_REFSEQ			not available: to be reported later	not available	1900/1921	not available: to be reported later	NCTC1101			4726818	2509025	2509025	6	47.5	94.32	2.09	Yersinia pseudotuberculosis	3	0		NCTC1101		0065be40-4608-11e7-b6fe-3c4a9275d6c8			PacBio	HGAP, Circlator, Prokka	PRJEB6403	F	high	rte
GCF_900460735.1	Yersinia pseudotuberculosis	SAMEA104200659	Contig	SOURCE_DATABASE_REFSEQ			not available: to be reported later	not available	1900/1921	not available: to be reported later	NCTC1103			4668003	725556	725556	7	47.5	95.58	0.5	Yersinia pseudotuberculosis	3	0		NCTC1103		005c4860-4608-11e7-b6fe-3c4a9275d6c8			PacBio	HGAP, Circlator, Prokka	PRJEB6403	F	high	rte
GCF_900460545.1	Yersinia pestis	SAMEA104210777	Contig	SOURCE_DATABASE_REFSEQ			not available: to be reported later	Guinea-pig	1920	not available: to be reported later	NCTC144			4858623	4311875	4311875	5	47.5	98.01	0.86	Yersinia pestis	3	0		NCTC144		d15d7ea8-7690-11e7-b3b7-3c4a9275d6c8			PacBio	HGAP, Circlator, Prokka	PRJEB6403	A	high	pig
