Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
GCA_028847405.1	100.0	2.41	Neural Network (Specific Model)	11	0.852	61297	307.4572039942939	4546190	0.47	4206	156	218244	None
GCA_028847965.1	100.0	1.42	Neural Network (Specific Model)	11	0.867	96824	320.4366729678639	4684356	0.47	4232	104	235239	None
GCA_028848145.1	100.0	0.72	Neural Network (Specific Model)	11	0.854	37234	308.20723362658845	4420583	0.47	4092	221	213451	None
GCA_028848325.1	100.0	0.75	Neural Network (Specific Model)	11	0.855	41532	305.97764820213797	4409713	0.47	4116	223	166758	None
GCA_028850285.1	100.0	0.52	Neural Network (Specific Model)	11	0.865	129863	319.9907866761162	4693653	0.47	4233	59	597467	None
GCA_028850385.1	100.0	0.89	Neural Network (Specific Model)	11	0.867	276151	317.1847575057737	4747550	0.47	4330	43	580166	None
GCA_028853985.1	100.0	0.14	Neural Network (Specific Model)	11	0.868	96340	320.13388625592415	4660875	0.47	4220	88	245789	None
GCA_028854545.1	100.0	0.88	Neural Network (Specific Model)	11	0.868	116610	313.8959679215861	4862092	0.47	4489	105	331071	None
GCA_028855065.1	100.0	0.14	Neural Network (Specific Model)	11	0.867	128585	322.4669582118562	4586958	0.47	4116	71	555920	None
GCA_028997965.1	100.0	1.47	Neural Network (Specific Model)	11	0.867	384982	314.74937286202965	4770371	0.47	4385	48	874226	None
GCA_030255135.1	100.0	0.34	Neural Network (Specific Model)	11	0.834	42865	308.9560103505058	4713828	0.47	4251	236	107213	None
GCA_030255355.1	100.0	0.22	Neural Network (Specific Model)	11	0.834	41766	310.0014330069262	4661036	0.48	4187	242	107366	None
GCA_030259835.1	100.0	0.12	Neural Network (Specific Model)	11	0.835	42865	311.34859417765614	4489422	0.48	4019	215	124608	None
GCA_031352465.1	100.0	3.19	Neural Network (Specific Model)	11	0.868	534403	312.5082860880942	4947686	0.47	4586	47	891563	None
GCA_032145255.1	100.0	0.95	Neural Network (Specific Model)	11	0.868	148715	310.68629193512555	4825912	0.47	4501	83	353306	None
GCA_032145435.1	100.0	0.47	Neural Network (Specific Model)	11	0.855	56469	314.44833581718825	4437734	0.47	4026	178	243813	None
GCA_032146035.1	100.0	1.59	Neural Network (Specific Model)	11	0.853	55194	309.2057682985943	4481529	0.47	4126	167	138582	None
GCA_032146235.1	100.0	1.14	Neural Network (Specific Model)	11	0.855	73976	311.5941372735939	4580483	0.47	4196	132	199689	None
GCA_032146615.1	100.0	0.73	Neural Network (Specific Model)	11	0.854	58525	312.6562196307094	4511312	0.47	4116	190	182671	None
GCA_032535065.1	100.0	0.5	Neural Network (Specific Model)	11	0.868	399607	316.0319426336375	5018122	0.47	4602	28	888755	None
GCA_033699435.1	100.0	2.87	Neural Network (Specific Model)	11	0.852	48821	306.7436137801734	4601911	0.47	4267	185	218363	None
GCA_033724155.1	100.0	1.01	Neural Network (Specific Model)	11	0.855	59924	312.05288346494376	4567888	0.47	4179	153	196121	None
GCA_033786385.1	100.0	0.72	Neural Network (Specific Model)	11	0.867	516251	314.7624800547071	4770004	0.47	4387	29	913582	None
GCA_034295875.1	100.0	2.75	Neural Network (Specific Model)	11	0.864	158320	313.10823945217584	4912094	0.47	4527	61	660916	None
GCA_034404415.1	100.0	6.92	Neural Network (Specific Model)	11	0.867	384974	314.84861359570664	4863749	0.47	4472	54	847846	None
GCA_034405475.1	100.0	3.53	Neural Network (Specific Model)	11	0.866	456827	319.29421148587056	4845418	0.47	4388	24	834355	None
GCA_034405795.1	100.0	2.92	Neural Network (Specific Model)	11	0.869	280056	313.55872594558724	4888115	0.47	4521	40	675049	None
GCA_034406175.1	100.0	0.09	Neural Network (Specific Model)	11	0.86	30007	308.1216216216216	4684795	0.47	4366	334	98961	None
GCA_034670865.1	100.0	2.25	Neural Network (Specific Model)	11	0.866	225187	312.2763243243243	4994953	0.47	4625	48	431506	None
GCA_036691225.1	100.0	1.81	Neural Network (Specific Model)	11	0.867	201612	313.62256637168144	4896583	0.47	4520	89	599606	None
GCA_037547335.1	100.0	3.58	Neural Network (Specific Model)	11	0.866	356503	320.26738468742684	4731726	0.47	4271	44	674430	None
GCA_038017655.1	100.0	3.81	Neural Network (Specific Model)	11	0.865	270606	319.5239085239085	4790458	0.47	4329	41	593844	None
GCA_039658695.1	100.0	0.81	Neural Network (Specific Model)	11	0.848	314141	316.46180963572266	3803065	0.47	3404	31	976262	None
GCA_040032075.1	100.0	0.71	Neural Network (Specific Model)	11	0.867	267052	320.22920123251953	4666577	0.47	4219	59	589280	None
GCA_040206375.1	100.0	0.17	Neural Network (Specific Model)	11	0.867	198331	320.3062395409993	4628055	0.47	4183	61	684594	None
GCA_040434115.1	100.0	0.38	Neural Network (Specific Model)	11	0.869	99893	309.89749134948096	4940826	0.47	4624	97	280296	None
GCA_042940255.1	100.0	5.63	Neural Network (Specific Model)	11	0.866	401197	310.4385890352741	5053987	0.47	4706	36	781140	None
GCA_042962395.1	100.0	2.07	Neural Network (Specific Model)	11	0.852	75695	308.9895709883859	4582356	0.47	4219	115	219754	None
GCA_043002675.1	100.0	4.78	Neural Network (Specific Model)	11	0.867	357282	317.51057605760576	4876646	0.47	4444	29	807860	None
GCA_043913085.1	100.0	1.88	Neural Network (Specific Model)	11	0.865	201286	316.4404679972471	4775669	0.47	4359	49	334032	None
GCA_045031215.1	100.0	2.72	Neural Network (Specific Model)	11	0.867	361291	318.1765523632994	4742665	0.47	4316	32	724572	None
GCA_045179305.1	100.0	2.34	Neural Network (Specific Model)	11	0.87	404128	315.93731811058876	4858624	0.47	4467	40	726242	None
GCA_045262965.1	100.0	0.72	Neural Network (Specific Model)	11	0.87	267574	317.4073482428115	4788874	0.47	4382	39	968089	None
GCA_045488875.1	100.0	4.04	Neural Network (Specific Model)	11	0.866	138133	316.1243592600847	4906018	0.47	4487	68	779755	None
GCA_045489785.1	100.0	0.71	Neural Network (Specific Model)	11	0.866	368753	320.19254365266636	4694510	0.47	4238	30	673076	None
GCA_045489835.1	100.0	2.55	Neural Network (Specific Model)	11	0.866	388318	320.37917347653513	4749953	0.47	4283	37	848458	None
GCA_046057315.1	100.0	0.78	Neural Network (Specific Model)	11	0.865	500326	315.42393045069775	4774520	0.47	4371	45	643963	None
GCA_046646535.1	100.0	0.25	Neural Network (Specific Model)	11	0.835	49244	312.0846725833533	4665393	0.48	4169	202	126129	None
GCA_046646585.1	100.0	0.24	Neural Network (Specific Model)	11	0.836	49160	311.60586704518573	4720962	0.48	4227	201	126269	None
GCA_046646845.1	100.0	0.22	Neural Network (Specific Model)	11	0.834	48900	311.9131801692866	4628968	0.48	4135	204	126117	None
GCA_046647005.1	100.0	0.23	Neural Network (Specific Model)	11	0.834	48900	311.973633284954	4628679	0.48	4134	203	126111	None
GCA_046647045.1	100.0	0.21	Neural Network (Specific Model)	11	0.835	48929	311.4299855142443	4628754	0.48	4142	204	126117	None
GCA_046649405.1	100.0	0.23	Neural Network (Specific Model)	11	0.835	48900	311.92117988394585	4627909	0.48	4136	199	126100	None
GCA_046650125.1	100.0	0.21	Neural Network (Specific Model)	11	0.835	48900	311.36210221793635	4634230	0.48	4148	207	126256	None
GCA_046652815.1	100.0	0.25	Neural Network (Specific Model)	11	0.835	49530	311.8324544582934	4664479	0.48	4172	205	126258	None
GCA_046652845.1	100.0	0.24	Neural Network (Specific Model)	11	0.836	53846	311.8633525456292	4654611	0.48	4164	207	123362	None
GCA_046654915.1	100.0	0.25	Neural Network (Specific Model)	11	0.836	51696	311.52805755395684	4655546	0.48	4170	213	126393	None
GCA_046656045.1	100.0	0.28	Neural Network (Specific Model)	11	0.835	46891	309.8679245283019	4652659	0.48	4187	231	128223	None
GCA_046656875.1	100.0	0.22	Neural Network (Specific Model)	11	0.835	48900	311.3578667953668	4628665	0.48	4144	205	126425	None
GCA_046658105.1	96.96	1.06	Neural Network (Specific Model)	11	0.832	58524	309.05746585021194	4724242	0.47	4246	309	150657	None
GCA_046658545.1	100.0	0.22	Neural Network (Specific Model)	11	0.835	48900	311.7247462542291	4628427	0.48	4138	202	125994	None
GCA_046658705.1	100.0	0.22	Neural Network (Specific Model)	11	0.835	45271	308.1101183289061	4578754	0.47	4141	217	126079	None
GCA_046660285.1	100.0	0.22	Neural Network (Specific Model)	11	0.835	48900	311.7532624456259	4628769	0.48	4138	202	126255	None
GCA_046661385.1	100.0	0.25	Neural Network (Specific Model)	11	0.835	49278	312.27067307692306	4656305	0.48	4160	202	126214	None
GCA_046662525.1	100.0	0.24	Neural Network (Specific Model)	11	0.834	48879	310.6385836385836	4566906	0.47	4095	201	119117	None
GCA_046662965.1	100.0	0.21	Neural Network (Specific Model)	11	0.835	48928	311.3698431845597	4631514	0.48	4145	207	126266	None
GCA_046663625.1	100.0	0.23	Neural Network (Specific Model)	11	0.836	49445	311.64451277199623	4721366	0.48	4228	198	144284	None
GCA_046664645.1	100.0	0.25	Neural Network (Specific Model)	11	0.835	49244	311.96946381341667	4653946	0.48	4159	202	126117	None
GCA_046664685.1	100.0	0.2	Neural Network (Specific Model)	11	0.834	48879	310.0420353982301	4529504	0.47	4068	200	125978	None
GCA_046666105.1	100.0	0.2	Neural Network (Specific Model)	11	0.834	48900	309.4383124846701	4530037	0.47	4077	206	126441	None
GCA_046667985.1	100.0	0.3	Neural Network (Specific Model)	11	0.837	48861	309.9703040301673	4706004	0.48	4243	212	115602	None
GCA_046668615.1	100.0	0.2	Neural Network (Specific Model)	11	0.834	48900	309.73213847287013	4529980	0.47	4073	202	126117	None
GCA_046669655.1	100.0	0.23	Neural Network (Specific Model)	11	0.836	51141	311.80043021032503	4675851	0.48	4184	208	120090	None
GCA_046669685.1	100.0	0.24	Neural Network (Specific Model)	11	0.836	51164	311.4543935052531	4673136	0.48	4188	208	120120	None
GCA_046670005.1	100.0	0.25	Neural Network (Specific Model)	11	0.835	49244	311.7873921380633	4665713	0.48	4172	209	125994	None
GCA_046671745.1	100.0	0.21	Neural Network (Specific Model)	11	0.835	49160	308.79477882523565	4580255	0.48	4137	204	144284	None
GCA_046673085.1	100.0	0.24	Neural Network (Specific Model)	11	0.835	49546	311.20038031851675	4695265	0.47	4207	205	126117	None
GCA_046675625.1	100.0	0.28	Neural Network (Specific Model)	11	0.836	62188	312.03768602976476	4659053	0.48	4166	187	137263	None
GCA_046676225.1	100.0	0.24	Neural Network (Specific Model)	11	0.836	51164	311.8016252390057	4674614	0.48	4184	203	120090	None
GCA_046676445.1	100.0	0.38	Neural Network (Specific Model)	11	0.836	45165	308.37379892195924	4715492	0.48	4267	220	126076	None
GCA_046676505.1	100.0	0.24	Neural Network (Specific Model)	11	0.836	51153	311.4730181470869	4673662	0.48	4188	205	120083	None
GCA_046677625.1	100.0	0.22	Neural Network (Specific Model)	11	0.835	48929	311.77772408794397	4629796	0.48	4139	203	126255	None
GCA_046679085.1	100.0	0.25	Neural Network (Specific Model)	11	0.835	51042	311.88129496402877	4662924	0.48	4170	199	125994	None
GCA_046680085.1	100.0	0.24	Neural Network (Specific Model)	11	0.836	49244	311.5946521533365	4718244	0.48	4226	197	126118	None
GCA_046681005.1	100.0	0.23	Neural Network (Specific Model)	11	0.836	49091	310.3553660270078	4691972	0.48	4221	210	126073	None
GCA_046682325.1	100.0	0.24	Neural Network (Specific Model)	11	0.835	46891	309.3078417091527	4571387	0.47	4119	222	125953	None
GCA_046685725.1	100.0	0.23	Neural Network (Specific Model)	11	0.836	49530	311.2855791962175	4718155	0.48	4230	199	126136	None
GCA_046687525.1	100.0	0.22	Neural Network (Specific Model)	11	0.835	48900	311.6246376811594	4628653	0.48	4140	203	126117	None
GCA_046688255.1	100.0	0.22	Neural Network (Specific Model)	11	0.834	48769	312.2302106027596	4630208	0.48	4131	205	126117	None
GCA_046688785.1	100.0	0.22	Neural Network (Specific Model)	11	0.835	49721	310.9116666666667	4685978	0.48	4200	208	126238	None
GCA_046689405.1	100.0	0.25	Neural Network (Specific Model)	11	0.836	51185	311.5703668185088	4658035	0.48	4171	207	119980	None
GCA_046690365.1	100.0	0.25	Neural Network (Specific Model)	11	0.835	51677	311.66970496521947	4658032	0.48	4169	211	126076	None
GCA_046691145.1	100.0	0.22	Neural Network (Specific Model)	11	0.834	48900	311.7276462058966	4629642	0.48	4138	208	126255	None
GCA_046696445.1	100.0	0.25	Neural Network (Specific Model)	11	0.835	46891	310.91764424227915	4656110	0.48	4177	215	126214	None
GCA_046697825.1	100.0	0.25	Neural Network (Specific Model)	11	0.835	47509	311.07244283995186	4633367	0.48	4155	219	125960	None
GCA_046697865.1	100.0	0.25	Neural Network (Specific Model)	11	0.835	48675	311.1536065180925	4655174	0.48	4173	215	125960	None
GCA_047409475.1	100.0	2.59	Neural Network (Specific Model)	11	0.867	146674	315.8660592255125	4792907	0.47	4390	80	425999	None
GCA_047411835.1	100.0	3.25	Neural Network (Specific Model)	11	0.867	250064	324.51624462494027	4695588	0.47	4186	48	589868	None
GCA_047422365.1	100.0	0.47	Neural Network (Specific Model)	11	0.865	271058	311.14723788049605	4780371	0.47	4435	60	683518	None
GCA_047434035.1	100.0	2.56	Neural Network (Specific Model)	11	0.865	167745	312.42053198505164	4921889	0.47	4549	79	674007	None
GCA_048223195.1	100.0	1.33	Neural Network (Specific Model)	11	0.868	255160	312.38656364026616	5024027	0.47	4659	85	448078	None
GCA_048784165.1	100.0	0.71	Neural Network (Specific Model)	11	0.868	270698	314.1359669269637	4721124	0.47	4354	41	732052	None
GCA_049085555.1	100.0	0.6	Neural Network (Specific Model)	11	0.867	186553	310.941425389755	4825366	0.47	4490	62	478071	None
GCA_049756215.1	100.0	0.38	Neural Network (Specific Model)	11	0.869	226018	313.17257525083613	4843802	0.47	4485	60	550354	None
GCA_049756335.1	100.0	4.97	Neural Network (Specific Model)	11	0.867	209885	312.66432337434094	4915286	0.47	4552	65	438050	None
GCA_049757975.1	100.0	3.03	Neural Network (Specific Model)	11	0.868	387296	312.032381763954	5054882	0.47	4694	55	777973	None
GCA_049758515.1	100.0	0.14	Neural Network (Specific Model)	11	0.875	28939	305.23521739130433	4804860	0.48	4600	355	103935	None
GCA_049759015.1	100.0	5.26	Neural Network (Specific Model)	11	0.868	134099	312.69170133566894	4931324	0.47	4567	73	406580	None
GCA_049759055.1	100.0	0.38	Neural Network (Specific Model)	11	0.851	74573	312.2112267118316	4539865	0.47	4133	143	300029	None
GCA_049759555.1	100.0	1.01	Neural Network (Specific Model)	11	0.872	63209	312.3710308829926	4933222	0.47	4598	153	332506	None
GCA_049760055.1	100.0	1.59	Neural Network (Specific Model)	11	0.865	236681	314.98141011108595	4809056	0.47	4411	52	502200	None
GCA_049760295.1	100.0	0.5	Neural Network (Specific Model)	11	0.867	167531	311.57409070498426	4792109	0.47	4454	81	355559	None
GCA_049762235.1	100.0	0.58	Neural Network (Specific Model)	11	0.868	216106	314.7455357142857	4866056	0.47	4480	63	385571	None
GCA_049763515.1	100.0	0.91	Neural Network (Specific Model)	11	0.852	72972	311.41688717825355	4552315	0.47	4157	136	241227	None
GCA_049763635.1	100.0	1.9	Neural Network (Specific Model)	11	0.868	319061	319.5864022662889	4672987	0.47	4236	39	632436	None
GCA_049763675.1	100.0	0.29	Neural Network (Specific Model)	11	0.855	59850	312.3328502415459	4529592	0.47	4140	155	217463	None
GCA_049763895.1	100.0	0.61	Neural Network (Specific Model)	11	0.852	51784	312.4865127582017	4518062	0.47	4115	202	133101	None
GCA_049764415.1	100.0	1.25	Neural Network (Specific Model)	11	0.852	76808	311.4841288502234	4656700	0.47	4253	147	235528	None
GCA_049764495.1	100.0	1.68	Neural Network (Specific Model)	11	0.852	88523	313.41431670282	4572709	0.47	4149	132	235528	None
GCA_049764875.1	100.0	0.65	Neural Network (Specific Model)	11	0.852	50451	310.29568986274984	4530459	0.47	4153	221	230416	None
GCA_049765295.1	100.0	3.12	Neural Network (Specific Model)	11	0.866	201480	316.7473142345568	4894325	0.47	4468	57	674237	None
GCA_049765595.1	100.0	0.95	Neural Network (Specific Model)	11	0.852	73964	311.5846153846154	4558412	0.47	4160	146	138612	None
GCA_049766175.1	100.0	0.26	Neural Network (Specific Model)	11	0.849	88571	311.5890669180019	4666451	0.47	4244	148	300029	None
GCA_049766535.1	100.0	0.84	Neural Network (Specific Model)	11	0.868	291422	322.0245921021518	4702033	0.47	4229	43	498498	None
GCA_049985045.1	100.0	0.31	Neural Network (Specific Model)	11	0.857	157170	313.61772455089823	4578344	0.47	4175	80	360532	None
GCA_050319515.1	100.0	1.39	Neural Network (Specific Model)	11	0.867	123085	318.12271234162364	4684519	0.47	4262	78	361823	None
GCA_050416755.1	100.0	2.88	Neural Network (Specific Model)	11	0.868	150647	312.9374584165003	4872286	0.47	4509	68	437526	None
GCA_050469185.1	100.0	1.13	Neural Network (Specific Model)	11	0.855	145058	316.45339299030576	4461278	0.47	4023	67	605386	None
GCA_050573995.1	100.0	3.01	Neural Network (Specific Model)	11	0.869	192698	316.6537937301227	4804496	0.47	4402	67	351324	None
GCA_050574035.1	100.0	2.09	Neural Network (Specific Model)	11	0.869	177734	319.899790258681	4734110	0.47	4291	60	475892	None
GCA_050915815.1	100.0	2.59	Neural Network (Specific Model)	11	0.867	244430	318.14490409059397	4756429	0.47	4327	42	568247	None
GCA_050926475.1	100.0	0.91	Neural Network (Specific Model)	11	0.869	253501	317.57591377694473	4674761	0.47	4268	58	411056	None
GCA_051211985.1	100.0	0.59	Neural Network (Specific Model)	11	0.866	352715	317.5643610785463	4687266	0.47	4265	41	578274	None
GCA_052090205.1	100.0	2.27	Neural Network (Specific Model)	11	0.853	48022	307.57326661901357	4532491	0.47	4197	179	126781	None
GCA_052267605.1	100.0	1.42	Neural Network (Specific Model)	11	0.866	168566	321.42857142857144	4678626	0.47	4207	53	592905	None
GCA_052643195.1	100.0	0.89	Neural Network (Specific Model)	11	0.869	85210	308.09147653895826	4932967	0.47	4646	140	383740	None
GCA_052711485.1	100.0	1.84	Neural Network (Specific Model)	11	0.852	70572	304.7638598932962	4616010	0.47	4311	121	218264	None
GCA_053754735.1	100.0	0.4	Neural Network (Specific Model)	11	0.868	98728	309.31277150304084	4915906	0.47	4604	143	254362	None
GCA_053881155.1	100.0	1.07	Neural Network (Specific Model)	11	0.868	150446	309.4081804764917	5063166	0.47	4743	98	352114	None
GCA_054732835.1	100.0	0.06	Neural Network (Specific Model)	11	0.855	60200	310.207479752263	4564127	0.47	4198	166	186023	None
GCA_054917625.1	100.0	0.01	Neural Network (Specific Model)	11	0.869	419427	315.28778661675244	4647299	0.47	4274	36	563907	None
GCA_054925725.1	100.0	0.52	Neural Network (Specific Model)	11	0.854	54607	310.29121653358385	4632824	0.47	4258	194	182793	None
GCA_054925785.1	100.0	0.49	Neural Network (Specific Model)	11	0.854	47956	306.93650410429746	4460995	0.47	4142	198	138564	None
GCA_055054815.1	100.0	0.25	Neural Network (Specific Model)	11	0.868	221504	318.0133425350817	4768553	0.47	4347	53	664056	None
GCA_055054835.1	100.0	0.2	Neural Network (Specific Model)	11	0.866	187746	316.94556074766354	4691799	0.47	4280	88	337491	None
GCA_055430045.1	100.0	1.38	Neural Network (Specific Model)	11	0.853	55675	308.92459736456806	4446662	0.47	4098	148	215236	None
GCA_055639935.1	100.0	0.23	Neural Network (Specific Model)	11	0.859	84479	315.97899058198504	4565373	0.47	4141	102	227522	None
GCA_055724105.1	100.0	2.2	Neural Network (Specific Model)	11	0.867	191989	314.72866666666664	4892140	0.47	4500	74	369955	None
GCA_056017105.1	100.0	0.45	Neural Network (Specific Model)	11	0.868	435390	317.87699421965317	4744025	0.47	4325	27	928240	None
GCA_056149825.1	100.0	0.21	Neural Network (Specific Model)	11	0.866	255758	320.9110087293889	4579821	0.47	4124	46	564227	None
GCA_056226475.1	100.0	0.83	Neural Network (Specific Model)	11	0.855	47794	311.42607428987617	4494869	0.47	4119	230	122520	None
GCA_056633965.1	100.0	2.05	Neural Network (Specific Model)	11	0.867	384879	315.4139458955224	4676237	0.47	4288	33	847904	None
GCA_056640835.1	100.0	0.99	Neural Network (Specific Model)	11	0.838	41302	294.1246819338422	4541950	0.48	4323	197	101422	None
GCA_057038645.1	100.0	1.8	Neural Network (Specific Model)	11	0.857	181824	308.6200044159859	4888248	0.47	4529	58	488638	None
GCA_902169455.1	100.0	0.34	Neural Network (Specific Model)	11	0.85	62591	300.5962910128388	4451798	0.47	4206	183	213030	None
GCA_902171165.1	100.0	0.22	Neural Network (Specific Model)	11	0.838	92377	317.0764119601329	4776782	0.48	4214	144	263886	None
GCA_902171735.1	100.0	0.28	Neural Network (Specific Model)	11	0.839	72401	313.75035360678925	4752620	0.47	4242	203	369097	None
GCA_902172585.1	100.0	0.27	Neural Network (Specific Model)	11	0.845	33590	309.2242750233863	4686369	0.48	4276	314	86993	None
GCA_902172895.1	100.0	0.28	Neural Network (Specific Model)	11	0.839	73871	312.3507049345418	4426725	0.48	3972	122	157126	None
GCA_902176005.1	100.0	0.14	Neural Network (Specific Model)	11	0.865	151299	320.06776034236805	4662459	0.47	4206	59	326459	None
GCA_902176055.1	100.0	0.3	Neural Network (Specific Model)	11	0.853	29580	303.66065249629264	4313915	0.47	4046	288	123939	None
GCA_963866285.1	100.0	0.0	Neural Network (Specific Model)	11	0.851	98694	315.62920508347867	4455944	0.47	4013	93	315553	None
GCA_963867905.1	100.0	0.2	Neural Network (Specific Model)	11	0.866	271197	320.4005248091603	4645601	0.47	4192	39	597803	None
GCA_963870225.1	100.0	0.34	Neural Network (Specific Model)	11	0.842	4685321	293.9880162636422	4885782	0.47	4673	3	4685321	None
GCA_963898565.1	100.0	0.25	Neural Network (Specific Model)	11	0.85	66291	306.45763125763125	4418457	0.47	4095	157	218332	None
GCF_000022805.1	100.0	0.87	Neural Network (Specific Model)	11	0.833	4640720	306.9308132875143	4812922	0.48	4365	4	4640720	None
GCF_000269085.1	100.0	0.5	Neural Network (Specific Model)	11	0.839	16946	296.43423137876385	4675127	0.47	4417	543	57145	None
GCF_000269345.1	100.0	0.69	Neural Network (Specific Model)	11	0.839	11712	291.9493108048021	4689160	0.48	4498	699	48289	None
GCF_000323325.1	100.0	2.02	Neural Network (Specific Model)	11	0.843	7418	277.5066695823311	4504947	0.48	4573	1237	28791	None
GCF_000950935.1	100.0	0.53	Neural Network (Specific Model)	11	0.838	17821	291.73219635860795	4523215	0.47	4339	477	51975	None
GCF_001123345.1	100.0	0.34	Neural Network (Specific Model)	11	0.834	116062	310.7417355371901	4857504	0.47	4356	94	306971	None
GCF_001151185.1	100.0	0.15	Neural Network (Specific Model)	11	0.862	170304	325.5128021057669	4727397	0.48	4179	58	677075	None
GCF_001182125.1	100.0	0.47	Neural Network (Specific Model)	11	0.851	62469	308.8116930572473	4460315	0.47	4105	131	217725	None
GCF_001219385.1	100.0	0.03	Neural Network (Specific Model)	11	0.863	243103	312.50461399954986	4819240	0.47	4443	59	540624	None
GCF_001294805.1	100.0	0.33	Neural Network (Specific Model)	11	0.838	44452	301.4428269546842	4587862	0.48	4259	230	150421	None
GCF_001319955.1	100.0	0.23	Neural Network (Specific Model)	11	0.862	140676	321.5321484579195	4273558	0.49	3826	55	622091	None
GCF_001882895.1	100.0	0.05	Neural Network (Specific Model)	11	0.853	186542	315.0353460972018	3756889	0.48	3395	79	309719	None
GCF_001883105.1	100.0	0.03	Neural Network (Specific Model)	11	0.852	146794	314.6291176470588	3758479	0.48	3400	77	309719	None
GCF_002188845.1	100.0	0.44	Neural Network (Specific Model)	11	0.835	56243	306.51230477993374	4642684	0.48	4226	180	188691	None
GCF_002591095.1	100.0	0.13	Neural Network (Specific Model)	11	0.858	5000678	317.759866962306	5000678	0.48	4510	1	5000678	None
GCF_003086055.1	100.0	0.39	Neural Network (Specific Model)	11	0.84	39359	300.8078092120645	4584858	0.48	4277	269	89746	None
GCF_009669925.1	100.0	0.19	Neural Network (Specific Model)	11	0.837	49132	312.2611741966659	4622077	0.48	4139	212	172298	None
GCF_009670015.1	100.0	0.2	Neural Network (Specific Model)	11	0.837	49054	312.20406189555126	4617515	0.48	4136	222	119921	None
GCF_013282725.1	100.0	0.25	Neural Network (Specific Model)	11	0.855	4603534	326.35403726708074	4603534	0.49	4025	1	4603534	None
GCF_015274715.1	100.0	0.97	Neural Network (Specific Model)	11	0.84	37624	302.06818710728413	4627585	0.48	4297	289	101491	None
