accession	species	niche	geo_loc	host	collection_date	gene	gene_name	scope	type	subtype	amr_class	subclass	method	pct_cov	pct_id	year	region	host_group
GCA_028830525.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2023-01	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTX	100.0	100.0	2023.0	UK	Human
GCA_028830525.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2023-01	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTX	100.0	100.0	2023.0	UK	Human
GCA_028830545.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2023-01	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTX	100.0	100.0	2023.0	UK	Human
GCA_028830545.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2023-01	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTX	100.0	100.0	2023.0	UK	Human
GCA_028830545.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2023-01	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTX	100.0	100.0	2023.0	UK	Human
GCA_028830545.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2023-01	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTX	100.0	100.0	2023.0	UK	Human
GCA_028830565.1	Yersinia enterocolitica	H	USA	missing	2022	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTX	100.0	100.0	2022.0	USA	Other/Unknown
GCA_028830565.1	Yersinia enterocolitica	H	USA	missing	2022	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTX	100.0	100.0	2022.0	USA	Other/Unknown
GCA_028830565.1	Yersinia enterocolitica	H	USA	missing	2022	tet(A)	tetracycline efflux MFS transporter Tet(A)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	100.0	100.0	2022.0	USA	Other/Unknown
GCA_028830565.1	Yersinia enterocolitica	H	USA	missing	2022	tet(A)	tetracycline efflux MFS transporter Tet(A)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	100.0	100.0	2022.0	USA	Other/Unknown
GCA_028830565.1	Yersinia enterocolitica	H	USA	missing	2022	tet(A)	tetracycline efflux MFS transporter Tet(A)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	100.0	99.75	2022.0	USA	Other/Unknown
GCA_028830565.1	Yersinia enterocolitica	H	USA	missing	2022	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTX	100.0	100.0	2022.0	USA	Other/Unknown
GCA_028830565.1	Yersinia enterocolitica	H	USA	missing	2022	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTX	100.0	100.0	2022.0	USA	Other/Unknown
GCA_028830585.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2023-01	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	BLASTX	100.0	98.64	2023.0	UK	Human
GCA_028830585.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2023-01	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	100.0	98.98	2023.0	UK	Human
GCA_028830585.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2023-01	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	100.0	98.98	2023.0	UK	Human
GCA_028830585.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2023-01	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	BLASTX	100.0	98.64	2023.0	UK	Human
GCA_028830605.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-11	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIALX	67.35	99.49	2022.0	UK	Human
GCA_028830605.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-11	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	BLASTX	100.0	99.55	2022.0	UK	Human
GCA_028830605.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-11	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIALX	67.35	99.49	2022.0	UK	Human
GCA_028830605.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-11	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	BLASTX	100.0	99.55	2022.0	UK	Human
GCA_028830625.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	100.0	99.66	2022.0	UK	Human
GCA_028830625.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTX	100.0	100.0	2022.0	UK	Human
GCA_028830625.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	100.0	99.66	2022.0	UK	Human
GCA_028830625.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTX	100.0	100.0	2022.0	UK	Human
GCA_028830645.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTX	100.0	100.0	2022.0	UK	Human
GCA_028830645.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTX	100.0	100.0	2022.0	UK	Human
GCA_028830645.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTX	100.0	100.0	2022.0	UK	Human
GCA_028830645.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTX	100.0	100.0	2022.0	UK	Human
GCA_028830665.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-07	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	BLASTX	100.0	98.19	2022.0	UK	Human
GCA_028830665.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-07	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	100.0	99.66	2022.0	UK	Human
GCA_028830665.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-07	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	100.0	99.66	2022.0	UK	Human
GCA_028830665.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-07	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	BLASTX	100.0	98.19	2022.0	UK	Human
GCA_028830685.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTX	100.0	100.0	2022.0	UK	Human
GCA_028830685.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTX	100.0	100.0	2022.0	UK	Human
GCA_028830685.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTX	100.0	100.0	2022.0	UK	Human
GCA_028830685.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTX	100.0	100.0	2022.0	UK	Human
GCA_028830705.1	Yersinia enterocolitica	H	USA	missing	2022	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTX	100.0	100.0	2022.0	USA	Other/Unknown
GCA_028830705.1	Yersinia enterocolitica	H	USA	missing	2022	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	BLASTX	100.0	98.64	2022.0	USA	Other/Unknown
GCA_028830705.1	Yersinia enterocolitica	H	USA	missing	2022	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTX	100.0	100.0	2022.0	USA	Other/Unknown
GCA_028830705.1	Yersinia enterocolitica	H	USA	missing	2022	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	BLASTX	100.0	98.64	2022.0	USA	Other/Unknown
GCA_028830725.1	Yersinia enterocolitica	H	USA	missing	2022	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTX	100.0	100.0	2022.0	USA	Other/Unknown
GCA_028830725.1	Yersinia enterocolitica	H	USA	missing	2022	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTX	100.0	100.0	2022.0	USA	Other/Unknown
GCA_028830725.1	Yersinia enterocolitica	H	USA	missing	2022	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTX	100.0	100.0	2022.0	USA	Other/Unknown
GCA_028830725.1	Yersinia enterocolitica	H	USA	missing	2022	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTX	100.0	100.0	2022.0	USA	Other/Unknown
GCA_028830745.1	Yersinia ruckeri	A	USA: OH	Oncorhynchus mykiss	2022-02-11	blaYRC	YRC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTX	99.22	100.0	2022.0	USA	Fish
GCA_028830745.1	Yersinia ruckeri	A	USA: OH	Oncorhynchus mykiss	2022-02-11	blaYRC	YRC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTX	99.22	100.0	2022.0	USA	Fish
GCA_028830765.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	100.0	99.66	2022.0	UK	Human
GCA_028830765.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTX	100.0	100.0	2022.0	UK	Human
GCA_028830765.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTX	100.0	100.0	2022.0	UK	Human
GCA_028830765.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	100.0	99.66	2022.0	UK	Human
GCA_028830825.1	Yersinia enterocolitica	H	USA	missing	2023	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTX	100.0	100.0	2023.0	USA	Other/Unknown
GCA_028830825.1	Yersinia enterocolitica	H	USA	missing	2023	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTX	100.0	100.0	2023.0	USA	Other/Unknown
GCA_028830825.1	Yersinia enterocolitica	H	USA	missing	2023	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTX	100.0	100.0	2023.0	USA	Other/Unknown
GCA_028830825.1	Yersinia enterocolitica	H	USA	missing	2023	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTX	100.0	100.0	2023.0	USA	Other/Unknown
GCA_028830885.1	Yersinia enterocolitica	H	USA	missing	2023	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	100.0	99.66	2023.0	USA	Other/Unknown
GCA_028830885.1	Yersinia enterocolitica	H	USA	missing	2023	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	BLASTX	100.0	98.64	2023.0	USA	Other/Unknown
GCA_028830885.1	Yersinia enterocolitica	H	USA	missing	2023	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	BLASTX	100.0	98.64	2023.0	USA	Other/Unknown
GCA_028830885.1	Yersinia enterocolitica	H	USA	missing	2023	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	100.0	99.66	2023.0	USA	Other/Unknown
GCA_028830905.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-10	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTX	100.0	100.0	2022.0	UK	Human
GCA_028830905.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-10	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTX	100.0	100.0	2022.0	UK	Human
GCA_028830905.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-10	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTX	100.0	100.0	2022.0	UK	Human
GCA_028830905.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-10	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTX	100.0	100.0	2022.0	UK	Human
GCA_028830925.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	100.0	99.66	2022.0	UK	Human
GCA_028830925.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTX	100.0	100.0	2022.0	UK	Human
GCA_028830925.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	100.0	99.66	2022.0	UK	Human
GCA_028830925.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTX	100.0	100.0	2022.0	UK	Human
GCA_028830945.1	Yersinia ruckeri	A	USA: OH	Oncorhynchus tshawytscha	2022-01-26	blaYRC	YRC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTX	99.22	99.74	2022.0	USA	Fish
GCA_028830945.1	Yersinia ruckeri	A	USA: OH	Oncorhynchus tshawytscha	2022-01-26	blaYRC	YRC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTX	99.22	99.74	2022.0	USA	Fish
GCA_028830965.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	100.0	99.66	2022.0	UK	Human
GCA_028830965.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTX	100.0	100.0	2022.0	UK	Human
GCA_028830965.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	100.0	99.66	2022.0	UK	Human
GCA_028830965.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTX	100.0	100.0	2022.0	UK	Human
GCA_028830975.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-11	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTX	100.0	100.0	2022.0	UK	Human
GCA_028830975.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-11	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTX	100.0	100.0	2022.0	UK	Human
GCA_028830975.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-11	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTX	100.0	100.0	2022.0	UK	Human
GCA_028830975.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-11	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIALX	67.35	99.49	2022.0	UK	Human
GCA_028830975.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-11	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTX	100.0	100.0	2022.0	UK	Human
GCA_028830975.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-11	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTX	100.0	100.0	2022.0	UK	Human
GCA_028831005.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	100.0	99.66	2022.0	UK	Human
GCA_028831005.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTX	100.0	100.0	2022.0	UK	Human
GCA_028831005.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	100.0	99.66	2022.0	UK	Human
GCA_028831005.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTX	100.0	100.0	2022.0	UK	Human
GCA_028831025.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTX	100.0	100.0	2022.0	UK	Human
GCA_028831025.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTX	100.0	100.0	2022.0	UK	Human
GCA_028831025.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTX	100.0	100.0	2022.0	UK	Human
GCA_028831025.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTX	100.0	100.0	2022.0	UK	Human
GCA_028831045.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTX	100.0	100.0	2022.0	UK	Human
GCA_028831045.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTX	100.0	100.0	2022.0	UK	Human
GCA_028831045.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTX	100.0	100.0	2022.0	UK	Human
GCA_028831045.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTX	100.0	100.0	2022.0	UK	Human
GCA_028831065.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	100.0	99.66	2022.0	UK	Human
GCA_028831065.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTX	100.0	100.0	2022.0	UK	Human
GCA_028831065.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	100.0	99.66	2022.0	UK	Human
GCA_028831065.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTX	100.0	100.0	2022.0	UK	Human
GCA_028831085.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2022-12	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	100.0	99.66	2022.0	UK	Human
