accession	species	niche	n_plasmid_contigs	has_plasmid	rep_types	mobility_types	total_plasmid_bp
GCF_045865125.1	Yersinia pseudotuberculosis	H	0	0			0
GCF_045865135.1	Yersinia pseudotuberculosis	H	1	1	IncFII,rep_cluster_645	-	74956
GCF_045865145.1	Yersinia pseudotuberculosis	H	0	0			0
GCF_045865155.1	Yersinia pseudotuberculosis	H	1	1	IncFII,rep_cluster_645	-	74988
GCF_045865165.1	Yersinia pseudotuberculosis	H	1	1	IncFII,rep_cluster_645	-	75010
GCF_045865175.1	Yersinia pseudotuberculosis	H	0	0			0
GCF_045865185.1	Yersinia pseudotuberculosis	H	0	0			0
GCF_900169255.1	Yersinia enterocolitica	H	6	1	-|rep_cluster_645|IncFII,rep_cluster_2203	-	69755
GCF_900169285.1	Yersinia enterocolitica	H	0	0			0
GCF_900169225.1	Yersinia enterocolitica	H	0	0			0
GCF_900169245.1	Yersinia enterocolitica	H	0	0			0
GCA_900460665.1	Yersinia pseudotuberculosis	A	0	0			0
GCF_900460645.1	Yersinia pseudotuberculosis	F	0	0			0
GCF_900460735.1	Yersinia pseudotuberculosis	F	0	0			0
GCF_900460545.1	Yersinia pestis	A	2	1	IncFII,rep_cluster_645|rep_cluster_2350	-	79862
GCF_900460465.1	Yersinia pestis	F	4	1	rep_cluster_2350|IncFII,rep_cluster_645|IncFIB	-	199401
GCA_033786315.1	Yersinia enterocolitica	F	3	1	rep_cluster_2203|rep_cluster_2307|-	-	55906
GCA_033787505.1	Yersinia enterocolitica	F	0	0			0
GCA_033787845.1	Yersinia enterocolitica	F	0	0			0
GCA_033816515.1	Yersinia enterocolitica	F	1	1	rep_cluster_2307	-	39984
GCA_033786305.1	Yersinia enterocolitica	F	0	0			0
GCF_946902935.1	Yersinia rochesterensis	U	0	0			0
GCA_028834205.1	Yersinia enterocolitica	H	0	0			0
GCA_028844385.1	Yersinia enterocolitica	U	3	1	-	-	4748
GCA_028844465.1	Yersinia enterocolitica	U	7	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	72017
GCA_028844345.1	Yersinia enterocolitica	U	10	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	71226
GCA_028844365.1	Yersinia enterocolitica	U	15	1	-|rep_cluster_645|IncFII,rep_cluster_2203	-	65752
GCA_028844505.1	Yersinia enterocolitica	U	13	1	-|rep_cluster_645|IncFII,rep_cluster_2203	-	66102
GCA_028844325.1	Yersinia enterocolitica	U	0	0			0
GCA_028844305.1	Yersinia enterocolitica	U	0	0			0
GCA_028844545.1	Yersinia enterocolitica	U	7	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	66734
GCA_028844525.1	Yersinia enterocolitica	U	10	1	rep_cluster_645|IncFII,rep_cluster_2203|-	-	67248
GCA_028844265.1	Yersinia enterocolitica	U	0	0			0
GCA_028844485.1	Yersinia enterocolitica	U	8	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	71721
GCA_028844245.1	Yersinia enterocolitica	F	9	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	68919
GCA_028844285.1	Yersinia enterocolitica	F	11	1	-|rep_cluster_645|IncFII,rep_cluster_2203	-	63720
GCA_028844205.1	Yersinia enterocolitica	U	0	0			0
GCA_028844225.1	Yersinia enterocolitica	U	13	1	-|rep_cluster_645|IncFII,rep_cluster_2203	-	69476
GCA_028844185.1	Yersinia enterocolitica	U	4	1	-	-	32337
GCA_028844165.1	Yersinia enterocolitica	U	12	1	-|rep_cluster_645|IncFII,rep_cluster_2203	-	71016
GCA_028844105.1	Yersinia enterocolitica	U	13	1	-|rep_cluster_645|IncFII,rep_cluster_2203	-	67337
GCA_028844145.1	Yersinia enterocolitica	U	0	0			0
GCA_028844125.1	Yersinia enterocolitica	U	16	1	-|IncQ1|rep_cluster_645|IncFII,rep_cluster_2203	-	81987
GCA_028844065.1	Yersinia enterocolitica	F	7	1	rep_cluster_214|rep_cluster_1304|-|ColRNAI_rep_cluster_1987	-	108619
GCA_028844005.1	Yersinia enterocolitica	F	4	1	rep_cluster_645|IncFII,rep_cluster_2203|-	-	73477
GCA_028844015.1	Yersinia enterocolitica	F	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	68239
GCA_028844035.1	Yersinia enterocolitica	F	0	0			0
GCA_028844085.1	Yersinia enterocolitica	F	0	0			0
GCA_028843985.1	Yersinia enterocolitica	F	6	1	rep_cluster_214|rep_cluster_1304|-	-	103116
GCA_028843965.1	Yersinia enterocolitica	F	7	1	-|rep_cluster_214	-	60393
GCA_028843945.1	Yersinia enterocolitica	F	7	1	rep_cluster_1304|-|rep_cluster_2358	-	73365
GCA_028843925.1	Yersinia enterocolitica	F	0	0			0
GCA_028843905.1	Yersinia enterocolitica	F	4	1	rep_cluster_214|-	-	64945
GCA_028843885.1	Yersinia enterocolitica	F	0	0			0
GCA_028843805.1	Yersinia enterocolitica	F	4	1	-|Col(Ye4449)	-	25485
GCA_028843765.1	Yersinia enterocolitica	F	16	1	rep_cluster_214|-	-	86499
GCA_028843745.1	Yersinia enterocolitica	F	3	1	-|IncFII|ColRNAI_rep_cluster_1987	-	41932
GCA_028843725.1	Yersinia enterocolitica	F	2	1	rep_cluster_1155|-	-	16325
GCA_028843685.1	Yersinia enterocolitica	F	3	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	68436
GCA_028843785.1	Yersinia enterocolitica	F	12	1	rep_cluster_214|-	-	96647
GCA_028843705.1	Yersinia enterocolitica	F	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67098
GCA_028843665.1	Yersinia enterocolitica	F	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	68570
GCA_028843625.1	Yersinia enterocolitica	F	4	1	rep_cluster_214|-	-	64784
GCA_963861545.1	Yersinia enterocolitica	U	0	0			0
GCA_963865585.1	Yersinia enterocolitica	U	1	1	rep_cluster_2307	-	68268
GCA_963868655.1	Yersinia enterocolitica	U	11	1	-|rep_cluster_645|IncFII,rep_cluster_2203	-	68931
GCA_963899145.1	Yersinia enterocolitica	U	0	0			0
GCA_963861145.1	Yersinia enterocolitica	U	1	1	IncFII,rep_cluster_645	-	69704
GCA_963860505.1	Yersinia enterocolitica	U	2	1	-|IncFII,rep_cluster_2203,rep_cluster_645	-	71151
GCA_963867135.1	Yersinia enterocolitica	U	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67381
GCA_963866625.1	Yersinia enterocolitica	U	4	1	IncFII,rep_cluster_2203,rep_cluster_645|-	-	70924
GCA_963865685.1	Yersinia enterocolitica	U	0	0			0
GCA_963865525.1	Yersinia enterocolitica	U	3	1	rep_cluster_645|-	-	61430
GCA_963865885.1	Yersinia enterocolitica	U	0	0			0
GCA_963865995.1	Yersinia enterocolitica	U	11	1	IncFII,rep_cluster_2203,rep_cluster_645|-	-	68153
GCA_963866205.1	Yersinia enterocolitica	U	3	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67048
GCA_963867355.1	Yersinia enterocolitica	U	0	0			0
GCA_963867745.1	Yersinia enterocolitica	U	0	0			0
GCA_963868875.1	Yersinia enterocolitica	U	0	0			0
GCA_963867685.1	Yersinia enterocolitica	U	3	1	rep_cluster_1304|Col(Ye4449)|rep_cluster_2335	-	30162
GCA_963867465.1	Yersinia enterocolitica	U	5	1	rep_cluster_645|-|IncFII,rep_cluster_2203|rep_cluster_2373	-	72976
GCF_963868735.1	Yersinia pekkanenii	U	2	1	IncFII,rep_cluster_904|-	-	44424
GCA_963869825.1	Yersinia enterocolitica	U	2	1	rep_cluster_214|IncFII,rep_cluster_645	-	189692
GCA_963870225.1	Yersinia enterocolitica	U	2	1	rep_cluster_214|IncFII,rep_cluster_2203,rep_cluster_645	-	200461
GCA_963869715.1	Yersinia enterocolitica	U	1	1	rep_cluster_214	-	115648
GCA_963870235.1	Yersinia enterocolitica	U	2	1	IncFII,rep_cluster_2203,rep_cluster_645|rep_cluster_214	-	193794
GCA_963869815.1	Yersinia enterocolitica	U	2	1	IncFII,rep_cluster_2203,rep_cluster_645|rep_cluster_214	-	173823
GCA_963870285.1	Yersinia enterocolitica	U	2	1	rep_cluster_214|IncFII,rep_cluster_2203,rep_cluster_645	-	173814
GCA_963895235.1	Yersinia enterocolitica	U	0	0			0
GCA_963897395.1	Yersinia enterocolitica	U	4	1	rep_cluster_645|IncC|-|IncFII,rep_cluster_2203	-	198867
GCA_963897675.1	Yersinia enterocolitica	U	5	1	rep_cluster_645|-|IncC	-	194114
GCA_963897315.1	Yersinia enterocolitica	U	4	1	-|rep_cluster_645|IncC	-	193999
GCA_963897505.1	Yersinia enterocolitica	U	6	1	-|IncFII,rep_cluster_2203,rep_cluster_645|IncC	-	208208
GCA_963897535.1	Yersinia enterocolitica	U	6	1	-|rep_cluster_645|IncC|IncFII,rep_cluster_2203	-	199120
GCA_963897445.1	Yersinia enterocolitica	U	7	1	-|rep_cluster_645|IncC|IncFII,rep_cluster_2203	-	201324
GCA_963897555.1	Yersinia enterocolitica	U	6	1	rep_cluster_645|IncC|-|IncFII,rep_cluster_2203	-	199541
GCA_963897275.1	Yersinia enterocolitica	U	6	1	rep_cluster_645|IncC|-|IncFII,rep_cluster_2203	-	198327
GCA_963897795.1	Yersinia enterocolitica	U	5	1	IncFII,rep_cluster_2203,rep_cluster_645|IncC|-	-	208044
GCF_963900425.1	Yersinia bercovieri	U	0	0			0
GCF_963901075.1	Yersinia alsatica	U	0	0			0
GCF_963900465.1	Yersinia alsatica	U	0	0			0
GCF_963900355.1	Yersinia alsatica	U	1	1	rep_cluster_214	-	58921
GCF_963900795.1	Yersinia rochesterensis	U	2	1	-|ColRNAI_rep_cluster_1987	-	6065
GCF_963901335.1	Yersinia rochesterensis	U	0	0			0
GCA_963861195.1	Yersinia enterocolitica	U	0	0			0
GCA_963861605.1	Yersinia enterocolitica	U	1	1	IncFII,rep_cluster_2203,rep_cluster_645	-	72460
GCA_963860925.1	Yersinia enterocolitica	U	0	0			0
GCA_963860475.1	Yersinia enterocolitica	U	1	1	IncFII,rep_cluster_2203,rep_cluster_645	-	76851
GCA_963865325.1	Yersinia enterocolitica	U	3	1	-|IncFII,rep_cluster_2203,rep_cluster_645	-	71006
GCA_963864495.1	Yersinia enterocolitica	U	0	0			0
GCA_963864275.1	Yersinia enterocolitica	U	3	1	-|IncFII,rep_cluster_2203,rep_cluster_645	-	71138
GCA_963864555.1	Yersinia enterocolitica	U	0	0			0
GCA_963864715.1	Yersinia enterocolitica	U	0	0			0
GCA_963864535.1	Yersinia enterocolitica	U	2	1	IncFII,rep_cluster_2203,rep_cluster_645|IncX4	-	101628
GCA_963867235.1	Yersinia enterocolitica	U	1	1	IncFII,rep_cluster_2203,rep_cluster_645	-	69701
GCA_963866955.1	Yersinia enterocolitica	U	1	1	rep_cluster_214	-	101782
GCA_963866165.1	Yersinia enterocolitica	U	0	0			0
GCF_963866405.1	Yersinia kristensenii	U	0	0			0
GCA_963866385.1	Yersinia enterocolitica	U	7	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	71112
GCA_963867065.1	Yersinia enterocolitica	U	1	1	Col(Ye4449)	-	4702
GCA_963866325.1	Yersinia enterocolitica	U	0	0			0
GCA_963866595.1	Yersinia enterocolitica	U	0	0			0
GCA_963866945.1	Yersinia enterocolitica	U	4	1	-|IncFII|rep_cluster_645	-	71045
GCA_963867155.1	Yersinia enterocolitica	U	4	1	rep_cluster_645|IncFII|-	-	70270
GCF_963865855.1	Yersinia kristensenii	U	0	0			0
GCA_963867075.1	Yersinia enterocolitica	U	5	1	-|rep_cluster_312|IncFII|rep_cluster_645	-	100714
GCA_963865575.1	Yersinia enterocolitica	U	3	1	rep_cluster_645|IncFII,rep_cluster_2203|-	-	68096
GCA_963865635.1	Yersinia enterocolitica	U	2	1	rep_cluster_645|IncFII	-	76559
GCA_963865755.1	Yersinia enterocolitica	U	0	0			0
GCA_963865595.1	Yersinia enterocolitica	U	3	1	rep_cluster_645|IncFII|-	-	68155
GCA_963865495.1	Yersinia enterocolitica	U	8	1	-|rep_cluster_645|IncFII,rep_cluster_2203	-	68560
GCA_963865935.1	Yersinia enterocolitica	U	1	1	IncP	-	42605
GCF_963865785.1	Yersinia kristensenii	U	0	0			0
GCA_963866025.1	Yersinia enterocolitica	U	7	1	rep_cluster_645|-|IncFII|IncN	-	119140
GCA_963866085.1	Yersinia enterocolitica	U	0	0			0
GCF_963866045.1	Yersinia kristensenii	U	0	0			0
GCA_963866215.1	Yersinia enterocolitica	U	0	0			0
GCA_963865865.1	Yersinia enterocolitica	U	4	1	rep_cluster_645|IncFII|-	-	72780
GCF_963866135.1	Yersinia kristensenii	U	1	1	rep_cluster_2350	-	2584
GCA_963866185.1	Yersinia enterocolitica	U	0	0			0
GCA_963866285.1	Yersinia enterocolitica	U	0	0			0
GCA_963866885.1	Yersinia enterocolitica	U	0	0			0
GCA_963866235.1	Yersinia enterocolitica	U	0	0			0
GCA_963865835.1	Yersinia enterocolitica	U	0	0			0
GCA_963867405.1	Yersinia enterocolitica	U	11	1	rep_cluster_214|-	-	96077
GCA_963867305.1	Yersinia enterocolitica	U	5	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	70738
GCA_963868025.1	Yersinia enterocolitica	U	0	0			0
GCA_963867975.1	Yersinia enterocolitica	U	3	1	rep_cluster_645|IncFII,rep_cluster_2203|-	-	70489
GCA_963868065.1	Yersinia enterocolitica	U	0	0			0
GCA_963867945.1	Yersinia enterocolitica	U	9	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	66610
GCA_963867455.1	Yersinia enterocolitica	U	0	0			0
GCA_963867915.1	Yersinia enterocolitica	U	0	0			0
GCA_963867855.1	Yersinia enterocolitica	U	6	1	-|rep_cluster_1304|Col(Ye4449)|ColRNAI_rep_cluster_1987,rep_cluster_2405|rep_cluster_2335	-	33895
GCA_963867925.1	Yersinia enterocolitica	U	1	1	IncX1,IncX3	-	62121
GCA_963867755.1	Yersinia enterocolitica	U	0	0			0
GCA_963867905.1	Yersinia enterocolitica	U	0	0			0
GCA_963867815.1	Yersinia enterocolitica	U	0	0			0
GCA_963868055.1	Yersinia enterocolitica	U	1	1	IncX1,IncX3	-	62116
GCA_963867385.1	Yersinia enterocolitica	U	13	1	IncFII|-	-	36022
GCA_963868315.1	Yersinia enterocolitica	U	6	1	rep_cluster_645|IncFII,rep_cluster_2203|-	-	70576
GCA_963868285.1	Yersinia enterocolitica	U	2	1	IncFII|rep_cluster_2335	-	37982
GCA_963868275.1	Yersinia enterocolitica	U	0	0			0
GCA_963867985.1	Yersinia enterocolitica	U	0	0			0
GCA_963867345.1	Yersinia enterocolitica	U	2	1	IncFII|rep_cluster_645	-	74394
GCA_963867425.1	Yersinia enterocolitica	U	0	0			0
GCA_963868355.1	Yersinia enterocolitica	U	0	0			0
GCA_963868595.1	Yersinia enterocolitica	U	5	1	-|IncFII|rep_cluster_645	-	74522
GCA_963868665.1	Yersinia enterocolitica	U	0	0			0
GCA_963868785.1	Yersinia enterocolitica	U	0	0			0
GCA_963867565.1	Yersinia enterocolitica	U	0	0			0
GCA_963867705.1	Yersinia enterocolitica	U	0	0			0
GCA_963867775.1	Yersinia enterocolitica	U	0	0			0
GCF_963867795.1	Yersinia mollaretii	U	0	0			0
GCA_963867895.1	Yersinia enterocolitica	U	0	0			0
GCA_963868545.1	Yersinia enterocolitica	U	0	0			0
GCA_963868905.1	Yersinia enterocolitica	U	5	1	-|IncN	-	45019
GCA_963867595.1	Yersinia enterocolitica	U	0	0			0
GCA_963867495.1	Yersinia enterocolitica	U	0	0			0
GCA_963867875.1	Yersinia enterocolitica	U	5	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	68479
GCA_963867735.1	Yersinia enterocolitica	U	2	1	rep_cluster_645|IncFII	-	67447
GCA_963868945.1	Yersinia enterocolitica	U	0	0			0
GCA_963868935.1	Yersinia enterocolitica	U	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	68014
GCA_963868955.1	Yersinia enterocolitica	U	2	1	rep_cluster_1304|rep_cluster_2335	-	22442
GCA_963868605.1	Yersinia enterocolitica	U	0	0			0
GCA_963867625.1	Yersinia enterocolitica	U	6	1	rep_cluster_645|IncN|-|IncFII,rep_cluster_2203	-	111263
GCA_963870355.1	Yersinia enterocolitica	U	1	1	rep_cluster_214	-	101782
GCA_963870155.1	Yersinia enterocolitica	U	1	1	IncFII,rep_cluster_645	-	69433
GCA_963869705.1	Yersinia enterocolitica	U	2	1	IncFII,rep_cluster_645|-	-	70911
GCA_963869585.1	Yersinia enterocolitica	U	0	0			0
GCA_963869735.1	Yersinia enterocolitica	U	0	0			0
GCA_963869745.1	Yersinia enterocolitica	U	0	0			0
GCA_963869555.1	Yersinia enterocolitica	U	0	0			0
GCA_963870085.1	Yersinia enterocolitica	U	5	1	-|IncFII,rep_cluster_2203|rep_cluster_645	-	72970
GCA_963869055.1	Yersinia enterocolitica	U	1	1	-	-	16369
GCF_963870125.1	Yersinia mollaretii	U	1	1	Col(Ye4449)	-	5346
GCF_963870645.1	Yersinia kristensenii	U	0	0			0
GCA_963870175.1	Yersinia enterocolitica	U	0	0			0
GCA_963870165.1	Yersinia enterocolitica	U	0	0			0
GCA_963870055.1	Yersinia enterocolitica	U	7	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	68312
GCA_963870705.1	Yersinia enterocolitica	U	0	0			0
GCA_963871375.1	Yersinia enterocolitica	U	0	0			0
GCA_963871335.1	Yersinia enterocolitica	U	0	0			0
GCA_963872395.1	Yersinia enterocolitica	U	0	0			0
GCF_963873565.1	Yersinia kristensenii	U	2	1	rep_cluster_214|-	-	59626
GCF_963876755.1	Yersinia kristensenii	U	0	0			0
GCF_963876845.1	Yersinia kristensenii	U	0	0			0
GCF_963876905.1	Yersinia kristensenii	U	0	0			0
GCF_963882275.1	Yersinia vastinensis	U	1	1	Col(Ye4449)	-	5432
GCA_963881985.1	Yersinia enterocolitica	U	1	1	IncFII,rep_cluster_2203,rep_cluster_645	-	72411
GCA_963887265.1	Yersinia enterocolitica	U	3	1	rep_cluster_645|IncFII|-	-	65836
GCF_963888175.1	Yersinia kristensenii	U	0	0			0
GCF_963887985.1	Yersinia kristensenii	U	0	0			0
GCF_963887555.1	Yersinia mollaretii	U	0	0			0
GCA_963888095.1	Yersinia enterocolitica	U	2	1	IncFII,rep_cluster_2203,rep_cluster_645|IncN	-	132170
GCA_963889695.1	Yersinia enterocolitica	U	0	0			0
GCA_963889715.1	Yersinia enterocolitica	U	0	0			0
GCA_963890295.1	Yersinia enterocolitica	U	0	0			0
GCF_963892745.1	Yersinia bercovieri	U	19	1	-|rep_cluster_2307	-	59544
GCA_963895585.1	Yersinia enterocolitica	U	0	0			0
GCA_963894715.1	Yersinia enterocolitica	U	0	0			0
GCA_963894695.1	Yersinia enterocolitica	U	2	1	-|IncX1	-	31559
GCA_963895315.1	Yersinia enterocolitica	U	0	0			0
GCA_963895335.1	Yersinia enterocolitica	U	0	0			0
GCA_963896555.1	Yersinia enterocolitica	U	1	1	IncX1	-	32102
GCA_963895015.1	Yersinia enterocolitica	U	0	0			0
GCA_963894965.1	Yersinia enterocolitica	U	0	0			0
GCA_963894485.1	Yersinia enterocolitica	U	0	0			0
GCF_963896155.1	Yersinia kristensenii	U	0	0			0
GCA_963894905.1	Yersinia enterocolitica	U	2	1	rep_cluster_2307|-	-	68322
GCA_963895345.1	Yersinia enterocolitica	U	1	1	IncFII,rep_cluster_2203	-	62895
GCA_963896435.1	Yersinia enterocolitica	U	0	0			0
GCA_963896365.1	Yersinia enterocolitica	U	0	0			0
GCA_963895435.1	Yersinia enterocolitica	U	1	1	IncFII,rep_cluster_2203	-	62866
GCA_963895505.1	Yersinia enterocolitica	U	0	0			0
GCA_963898235.1	Yersinia enterocolitica	U	6	1	-|IncFII|rep_cluster_645	-	73862
GCA_963897175.1	Yersinia enterocolitica	U	7	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	69856
GCA_963898245.1	Yersinia enterocolitica	U	5	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	68662
GCA_963897615.1	Yersinia enterocolitica	U	6	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	71166
GCA_963897625.1	Yersinia enterocolitica	U	5	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	68202
GCA_963897125.1	Yersinia enterocolitica	U	6	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	71162
GCA_963898265.1	Yersinia enterocolitica	U	6	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	69934
GCA_963897305.1	Yersinia enterocolitica	U	6	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	71216
GCA_963896935.1	Yersinia enterocolitica	U	6	1	-|IncFII|rep_cluster_645	-	74050
GCA_963897265.1	Yersinia enterocolitica	U	3	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	68235
GCA_963897785.1	Yersinia enterocolitica	U	3	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	68246
GCA_963898325.1	Yersinia enterocolitica	U	0	0			0
GCA_963897205.1	Yersinia enterocolitica	U	0	0			0
GCA_963897895.1	Yersinia enterocolitica	U	0	0			0
GCA_963897945.1	Yersinia enterocolitica	U	3	1	IncFII,rep_cluster_2203,rep_cluster_645|-	-	74999
GCA_963897065.1	Yersinia enterocolitica	U	3	1	IncFII,rep_cluster_2203,rep_cluster_645|-	-	75683
GCA_963897245.1	Yersinia enterocolitica	U	5	1	-|rep_cluster_645|IncFII,rep_cluster_2203	-	70121
GCA_963896995.1	Yersinia enterocolitica	U	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	68460
GCA_963897525.1	Yersinia enterocolitica	U	3	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	68125
GCA_963899105.1	Yersinia enterocolitica	U	3	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	69245
GCA_963899055.1	Yersinia enterocolitica	U	0	0			0
GCA_963899755.1	Yersinia enterocolitica	U	3	1	rep_cluster_645|-	-	62608
GCA_963899195.1	Yersinia enterocolitica	U	0	0			0
GCA_963899935.1	Yersinia enterocolitica	U	0	0			0
GCA_963899215.1	Yersinia enterocolitica	U	0	0			0
GCA_963899865.1	Yersinia enterocolitica	U	0	0			0
GCA_963898565.1	Yersinia enterocolitica	U	0	0			0
GCA_963898605.1	Yersinia enterocolitica	U	0	0			0
GCA_963898625.1	Yersinia enterocolitica	U	0	0			0
GCA_963898385.1	Yersinia enterocolitica	U	0	0			0
GCA_963898445.1	Yersinia enterocolitica	U	0	0			0
GCA_963900045.1	Yersinia enterocolitica	U	0	0			0
GCA_963898905.1	Yersinia enterocolitica	U	0	0			0
GCA_963899135.1	Yersinia enterocolitica	U	0	0			0
GCA_963899025.1	Yersinia enterocolitica	U	0	0			0
GCA_963899225.1	Yersinia enterocolitica	U	0	0			0
GCA_963899255.1	Yersinia enterocolitica	U	0	0			0
GCA_963899325.1	Yersinia enterocolitica	U	0	0			0
GCA_963899825.1	Yersinia enterocolitica	U	0	0			0
GCA_963899815.1	Yersinia enterocolitica	U	0	0			0
GCF_963901205.1	Yersinia kristensenii	U	0	0			0
GCA_963900395.1	Yersinia enterocolitica	U	0	0			0
GCF_963900485.1	Yersinia aleksiciae	U	0	0			0
GCF_963900675.1	Yersinia vastinensis	U	0	0			0
GCF_963900475.1	Yersinia vastinensis	U	0	0			0
